dir,workDir,nrg,dnrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,sxx,syy,szz,sxy,syz,szx
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/9/p0.001,p0.001,-58.94044825,-0.00000181,3,226,5.84669876,5.852035268,11.24237809,89.9997869,89.99984318,90.00007347,384.6589483,-0.03085,-0.30295,0.27454,-0.00875,0.00123,-0.0007
/gpfs/scratch/vkb5066/cu2cdgex4_1.8.2021/elas/x0000/9/p0.002,p0.002,-58.94025323,-0.00000087,12,226,5.846704606,5.857887315,11.23113569,89.99980297,89.99984656,90.00006878,384.6589483,-0.05763,-0.59499,0.5011,-0.01896,0.00252,-0.00051
/gpfs/scratch/vkb5066/tetraTetra/elas/x0125/1/n0.001,n0.001,-59.65820204,-0.00000073,2,226,5.802077182,5.807838824,11.17655679,89.82874202,89.82866366,89.94789289,376.6188194,0.80595,0.5012,0.48617,0.01498,-0.00265,-0.00235
/gpfs/scratch/vkb5066/tetraTetra/elas/x0125/1/n0.002,n0.002,-59.65790102,-0.00000159,8,226,5.796269311,5.807838823,11.17655677,89.82874195,89.82866317,89.94789302,376.2418236,1.58355,0.99244,0.96597,0.01779,0.00121,-0.00657
/gpfs/scratch/vkb5066/tetraTetra/elas/x0125/1/p0.001,p0.001,-59.65825407,-0.00000047,3,226,5.813692924,5.807838827,11.17655684,89.82874218,89.82866411,89.94789246,377.372811,-0.77472,-0.47082,-0.45683,0.00078,-0.0006,0.00453
/gpfs/scratch/vkb5066/tetraTetra/elas/x0125/1/p0.002,p0.002,-59.65800411,-0.00000124,8,226,5.819500795,5.807838828,11.17655687,89.82874226,89.82866408,89.94789217,377.7498068,-1.5506,-0.95628,-0.92642,-0.00814,-0.00275,0.00594
/gpfs/scratch/vkb5066/tetraTetra/elas/x0125/2/n0.001,n0.001,-59.65820199,-0.00000074,2,226,5.807885052,5.802031001,11.17655679,89.8287423,89.82866389,89.94789271,376.6188194,0.50117,0.80616,0.48613,0.01495,0.00209,0.00243
/gpfs/scratch/vkb5066/tetraTetra/elas/x0125/2/n0.002,n0.002,-59.65790234,-0.00000053,10,226,5.807885051,5.796223176,11.17655677,89.82874233,89.82866381,89.94789268,376.2418236,0.99917,1.57579,0.96563,0.01526,0.00051,-0.00171
/gpfs/scratch/vkb5066/tetraTetra/elas/x0125/2/p0.001,p0.001,-59.658255,-0.00000046,3,226,5.807885054,5.81364665,11.17655684,89.82874173,89.82866405,89.94789263,377.372811,-0.47043,-0.77468,-0.45652,0.00081,-0.00465,0.00045
/gpfs/scratch/vkb5066/tetraTetra/elas/x0125/2/p0.002,p0.002,-59.65800544,-0.00000191,11,226,5.807885055,5.819454475,11.17655687,89.82874119,89.82866413,89.94789251,377.7498068,-0.96216,-1.54808,-0.93074,-0.0097,-0.00469,0.0052
